"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30767","Text Match/Mismatch Assertion","chromium","Wed Jul 16 10:20:40 MDT 2025","broken","Wed Jul 16 10:21:10 MDT 2025","","assertionsTest.spec.ts","",""
"","1","Home Page Test @sanity","chromium","Wed Jul 16 10:21:51 MDT 2025","passed","Wed Jul 16 10:21:51 MDT 2025","","tagsTest.spec.ts","",""
"","3819","Simple Alert Test","chromium","Wed Jul 16 10:20:35 MDT 2025","passed","Wed Jul 16 10:20:39 MDT 2025","","alertTest.spec.ts","",""
"","13574","Right Click Test","chromium","Wed Jul 16 10:20:48 MDT 2025","passed","Wed Jul 16 10:21:01 MDT 2025","","buttonTest.spec.ts","",""
"","3418","Confirmation - Cancel Alert Test","chromium","Wed Jul 16 10:20:35 MDT 2025","passed","Wed Jul 16 10:20:39 MDT 2025","","alertTest.spec.ts","",""
"","13223","Prompt Alert Test","chromium","Wed Jul 16 10:20:35 MDT 2025","passed","Wed Jul 16 10:20:48 MDT 2025","","alertTest.spec.ts","",""
"","74556","Press Sequential Method with Delay Test","chromium","Wed Jul 16 10:21:55 MDT 2025","passed","Wed Jul 16 10:23:09 MDT 2025","","textBoxTest.spec.ts","",""
"","2842","Element Attribute Assertion","chromium","Wed Jul 16 10:20:40 MDT 2025","passed","Wed Jul 16 10:20:42 MDT 2025","","assertionsTest.spec.ts","",""
"","4","Not yet ready","chromium","Wed Jul 16 10:20:37 MDT 2025","failed","Wed Jul 16 10:20:37 MDT 2025","","annotationTest.spec.ts","",""
"","584","Test 1","chromium","Wed Jul 16 10:21:26 MDT 2025","passed","Wed Jul 16 10:21:26 MDT 2025","","hooksTest.spec.ts","",""
"","2528","Title Assertion","chromium","Wed Jul 16 10:20:42 MDT 2025","passed","Wed Jul 16 10:20:45 MDT 2025","","assertionsTest.spec.ts","",""
"","2708","My first Playwright test using Typescript","chromium","Wed Jul 16 10:21:13 MDT 2025","passed","Wed Jul 16 10:21:16 MDT 2025","","firstTest.spec.ts","",""
"","1","Yet to fix the test","chromium","Wed Jul 16 10:20:39 MDT 2025","skipped","Wed Jul 16 10:20:39 MDT 2025","","annotationTest.spec.ts","",""
"","31897","Orange HRM Login Test with valid credentials","chromium","Wed Jul 16 10:21:31 MDT 2025","broken","Wed Jul 16 10:22:03 MDT 2025","","pageObjectModelTestWithFixture.spec.ts","",""
"","31110","Test 1","chromium","Wed Jul 16 10:21:18 MDT 2025","passed","Wed Jul 16 10:21:50 MDT 2025","","hooksImplementationTest.spec.ts","",""
"","4118","Orange HRM Login Test with valid credentials","chromium","Wed Jul 16 10:21:31 MDT 2025","passed","Wed Jul 16 10:21:35 MDT 2025","","pageObjectModelTest.spec.ts","",""
"","409","Test 4","chromium","Wed Jul 16 10:21:18 MDT 2025","passed","Wed Jul 16 10:21:18 MDT 2025","Suite 2","groupTest.spec.ts","",""
"","11155","Non-Searchable Dynamic Dropdown Test","chromium","Wed Jul 16 10:21:08 MDT 2025","passed","Wed Jul 16 10:21:20 MDT 2025","","dropdownTest.spec.ts","",""
"","26694","Login test with Credentials Admin and admin123","chromium","Wed Jul 16 10:21:32 MDT 2025","passed","Wed Jul 16 10:21:59 MDT 2025","","parametrizeTest.spec.ts","",""
"","1","Login Page Test @smoke","chromium","Wed Jul 16 10:21:51 MDT 2025","passed","Wed Jul 16 10:21:51 MDT 2025","","tagsTest.spec.ts","",""
"","666","Drag and drop - Approach 1","chromium","Wed Jul 16 10:20:58 MDT 2025","failed","Wed Jul 16 10:20:59 MDT 2025","","dragAndDropHandling.spec.ts","",""
"","6986","Regular Single Left Click Test","chromium","Wed Jul 16 10:20:49 MDT 2025","passed","Wed Jul 16 10:20:56 MDT 2025","","checkboxTest.spec.ts","",""
